工序,月份,ICC,描述,0MIS_count,VRT
焊接,202605,焊接/电池托盘,电池托盘焊缝异常,295,电器
焊接,202607,焊接/电池托盘,电池托盘焊缝异常,291,电器
总装,202605,装配/搭铁,中控箱搭铁无固定孔,200,电器
总装,202605,电检/清码,清码不合格,98,电器
总装,202605,电检/初始化,IBCU初始化不合格,70,电器
总装,202605,电检/刷写,ECU未刷写,62,电器
总装,202605,电检/以太网,以太网故障,74,电器
总装,202605,装配/未装,零部件未装,116,车辆工程
总装,202605,装配/扭矩,紧固扭矩不足,57,车辆工程
总装,202606,装配/搭铁,中控箱搭铁无固定孔,197,电器
总装,202606,电检/清码,清码不合格,117,电器
总装,202606,电检/初始化,IBCU初始化不合格,74,电器
总装,202606,电检/车机,车机旋转不到位,89,电器
总装,202606,电检/安规,安规无法测试,64,电器
总装,202606,装配/未装,零部件未装,73,车辆工程
总装,202607,装配/搭铁,中控箱搭铁无固定孔,251,电器
总装,202607,装配/线束,线束干涉,110,电器
总装,202607,电检/清码,清码不合格,89,电器
总装,202607,电检/初始化,IBCU初始化不合格,74,电器
总装,202607,电检/车机,车机旋转不到位,35,电器
总装,202607,电检/以太网,以太网故障,42,电器
总装,202607,装配/未装,零部件未装,60,车辆工程
总装,202607,装配/扭矩,紧固扭矩不足,36,车辆工程
总装,202608,装配/搭铁,中控箱搭铁无固定孔,161,电器
总装,202608,电检/清码,清码不合格,116,电器
总装,202608,电检/初始化,IBCU初始化不合格,96,电器
总装,202608,电检/车机,车机旋转不到位,32,电器
总装,202608,电检/以太网,以太网故障,38,电器
总装,202608,电检/安规,安规无法测试,36,电器
总装,202608,装配/未装,零部件未装,58,车辆工程
总装,202608,装配/扭矩,紧固扭矩不足,52,车辆工程
出厂,202605,底盘/制动,制动跑偏,131,底盘
出厂,202605,底盘/ABS,ABS报警,102,底盘
出厂,202605,电器/灯光,前大灯不亮,364,电器
出厂,202605,电器/传感器,雷达未标定,201,电器
出厂,202605,出厂/路试,路试异响,198,车辆工程
出厂,202606,底盘/制动,制动跑偏,111,底盘
出厂,202606,底盘/ABS,ABS报警,203,底盘
出厂,202606,底盘/异响,行驶系异响,288,底盘
出厂,202606,底盘/跑偏,车辆跑偏,95,底盘
出厂,202606,电器/传感器,雷达未标定,94,电器
出厂,202606,出厂/路试,路试异响,326,车辆工程
出厂,202607,底盘/制动,制动跑偏,96,底盘
出厂,202607,底盘/异响,行驶系异响,171,底盘
出厂,202607,电器/灯光,前大灯不亮,224,电器
出厂,202607,电器/传感器,雷达未标定,177,电器
出厂,202607,电器/电检,电检功能测试异常,215,电器
出厂,202607,出厂/路试,路试异响,309,车辆工程
出厂,202608,底盘/ABS,ABS报警,303,底盘
出厂,202608,电器/灯光,前大灯不亮,421,电器
出厂,202608,电器/电检,电检功能测试异常,440,电器
