工序,月份,VRT,VFG,ICC,描述,C_count,0MIS_count,当班_count,样本量
冲压,202605,车身外饰,外观,钣金/开裂,侧围外板开裂,43,0,23,12289
冲压,202605,车身外饰,外观,钣金/毛刺,行李箱盖毛刺,18,0,13,12289
冲压,202605,车身外饰,外观,钣金/凹陷,顶盖凹陷,15,0,9,12289
冲压,202605,车身外饰,外观,钣金/变形,轮罩变形,15,0,10,12289
冲压,202606,车身外饰,外观,钣金/开裂,侧围外板开裂,25,0,14,12108
冲压,202606,车身外饰,外观,钣金/起皱,翼子板起皱,18,0,13,12108
冲压,202606,车身外饰,外观,钣金/划痕,门内板划痕,15,0,11,12108
冲压,202606,车身外饰,外观,钣金/毛刺,行李箱盖毛刺,15,0,9,12108
冲压,202606,车身外饰,外观,钣金/凹陷,顶盖凹陷,4,0,3,12108
冲压,202606,车身外饰,外观,钣金/变形,轮罩变形,7,0,5,12108
冲压,202607,车身外饰,外观,钣金/开裂,侧围外板开裂,39,0,24,12107
冲压,202607,车身外饰,外观,钣金/起皱,翼子板起皱,36,0,24,12107
冲压,202607,车身外饰,外观,钣金/毛刺,行李箱盖毛刺,15,0,9,12107
冲压,202607,车身外饰,外观,钣金/变形,轮罩变形,9,0,6,12107
冲压,202608,车身外饰,外观,钣金/开裂,侧围外板开裂,43,0,25,11797
冲压,202608,车身外饰,外观,钣金/起皱,翼子板起皱,24,0,13,11797
冲压,202608,车身外饰,外观,钣金/划痕,门内板划痕,20,0,12,11797
冲压,202608,车身外饰,外观,钣金/变形,轮罩变形,10,0,6,11797
焊接,202605,车身外饰,外观,焊接/焊偏,前盖焊偏,49,0,33,11612
焊接,202605,车身外饰,外观,焊接/烧穿,后盖烧穿,30,0,16,11612
焊接,202605,车身外饰,外观,焊接/漏焊,侧围漏焊点,25,0,14,11612
焊接,202605,车身外饰,外观,焊接/焊缝间隙,门盖焊缝间隙,21,0,14,11612
焊接,202605,车身外饰,外观,焊接/车身变形,车身总成变形,14,0,8,11612
焊接,202605,电器,功能性能,焊接/电池托盘,电池托盘焊缝异常,48,295,30,11612
焊接,202606,车身外饰,外观,焊接/虚焊,A柱焊缝虚焊,73,0,45,11917
焊接,202606,车身外饰,外观,焊接/焊偏,前盖焊偏,44,0,26,11917
焊接,202606,车身外饰,外观,焊接/烧穿,后盖烧穿,14,0,9,11917
焊接,202606,车身外饰,外观,焊接/漏焊,侧围漏焊点,61,0,34,11917
焊接,202606,车身外饰,外观,焊接/焊缝间隙,门盖焊缝间隙,45,0,24,11917
焊接,202606,车身外饰,外观,焊接/车身变形,车身总成变形,14,0,10,11917
焊接,202607,车身外饰,外观,焊接/虚焊,A柱焊缝虚焊,78,0,52,12410
焊接,202607,车身外饰,外观,焊接/焊偏,前盖焊偏,129,0,69,12410
焊接,202607,车身外饰,外观,焊接/烧穿,后盖烧穿,29,0,19,12410
焊接,202607,车身外饰,外观,焊接/焊缝间隙,门盖焊缝间隙,75,0,50,12410
焊接,202607,车身外饰,外观,焊接/车身变形,车身总成变形,15,0,10,12410
焊接,202607,电器,功能性能,焊接/电池托盘,电池托盘焊缝异常,39,291,25,12410
焊接,202608,车身外饰,外观,焊接/虚焊,A柱焊缝虚焊,134,0,84,11958
焊接,202608,车身外饰,外观,焊接/烧穿,后盖烧穿,73,0,48,11958
