工序,月份,ICC,描述,当班_count,VRT
冲压,202605,钣金/开裂,侧围外板开裂,23,车身外饰
冲压,202605,钣金/毛刺,行李箱盖毛刺,13,车身外饰
冲压,202605,钣金/凹陷,顶盖凹陷,9,车身外饰
冲压,202605,钣金/变形,轮罩变形,10,车身外饰
冲压,202606,钣金/开裂,侧围外板开裂,14,车身外饰
冲压,202606,钣金/起皱,翼子板起皱,13,车身外饰
冲压,202606,钣金/划痕,门内板划痕,11,车身外饰
冲压,202606,钣金/毛刺,行李箱盖毛刺,9,车身外饰
冲压,202606,钣金/凹陷,顶盖凹陷,3,车身外饰
冲压,202606,钣金/变形,轮罩变形,5,车身外饰
冲压,202607,钣金/开裂,侧围外板开裂,24,车身外饰
冲压,202607,钣金/起皱,翼子板起皱,24,车身外饰
冲压,202607,钣金/毛刺,行李箱盖毛刺,9,车身外饰
冲压,202607,钣金/变形,轮罩变形,6,车身外饰
冲压,202608,钣金/开裂,侧围外板开裂,25,车身外饰
冲压,202608,钣金/起皱,翼子板起皱,13,车身外饰
冲压,202608,钣金/划痕,门内板划痕,12,车身外饰
冲压,202608,钣金/变形,轮罩变形,6,车身外饰
焊接,202605,焊接/焊偏,前盖焊偏,33,车身外饰
焊接,202605,焊接/烧穿,后盖烧穿,16,车身外饰
焊接,202605,焊接/漏焊,侧围漏焊点,14,车身外饰
焊接,202605,焊接/焊缝间隙,门盖焊缝间隙,14,车身外饰
焊接,202605,焊接/车身变形,车身总成变形,8,车身外饰
焊接,202605,焊接/电池托盘,电池托盘焊缝异常,30,电器
焊接,202606,焊接/虚焊,A柱焊缝虚焊,45,车身外饰
焊接,202606,焊接/焊偏,前盖焊偏,26,车身外饰
焊接,202606,焊接/烧穿,后盖烧穿,9,车身外饰
焊接,202606,焊接/漏焊,侧围漏焊点,34,车身外饰
焊接,202606,焊接/焊缝间隙,门盖焊缝间隙,24,车身外饰
焊接,202606,焊接/车身变形,车身总成变形,10,车身外饰
焊接,202607,焊接/虚焊,A柱焊缝虚焊,52,车身外饰
焊接,202607,焊接/焊偏,前盖焊偏,69,车身外饰
焊接,202607,焊接/烧穿,后盖烧穿,19,车身外饰
焊接,202607,焊接/焊缝间隙,门盖焊缝间隙,50,车身外饰
焊接,202607,焊接/车身变形,车身总成变形,10,车身外饰
焊接,202607,焊接/电池托盘,电池托盘焊缝异常,25,电器
焊接,202608,焊接/虚焊,A柱焊缝虚焊,84,车身外饰
焊接,202608,焊接/烧穿,后盖烧穿,48,车身外饰
焊接,202608,焊接/车身变形,车身总成变形,33,车身外饰
涂装,202605,涂装/色差,前后门色差,55,涂装
涂装,202605,涂装/针孔,侧围针孔,26,涂装
涂装,202605,涂装/缩孔,顶盖缩孔,15,涂装
涂装,202605,涂装/颗粒,前保险杠颗粒,17,涂装
涂装,202605,涂装/划伤,整车划伤,44,涂装
涂装,202606,涂装/针孔,侧围针孔,68,涂装
涂装,202606,涂装/缩孔,顶盖缩孔,47,涂装
涂装,202606,涂装/划伤,整车划伤,96,涂装
涂装,202607,涂装/流挂,前盖流挂,43,涂装
涂装,202607,涂装/缩孔,顶盖缩孔,28,涂装
涂装,202607,涂装/颗粒,前保险杠颗粒,95,涂装
涂装,202608,涂装/色差,前后门色差,79,涂装
涂装,202608,涂装/流挂,前盖流挂,27,涂装
涂装,202608,涂装/针孔,侧围针孔,23,涂装
涂装,202608,涂装/缩孔,顶盖缩孔,12,涂装
涂装,202608,涂装/颗粒,前保险杠颗粒,45,涂装
总装,202605,装配/间隙,前后保险杠间隙不均,57,车身外饰
总装,202605,装配/徽标灯,前徽标灯间隙,80,车身外饰
总装,202605,装配/油箱盖,油箱盖间隙,46,车身外饰
总装,202605,装配/折痕,后顶棚折痕,89,车身内饰
总装,202605,装配/内饰异响,仪表台异响,17,车身内饰
总装,202605,装配/搭铁,中控箱搭铁无固定孔,146,电器
总装,202605,电检/清码,清码不合格,70,电器
总装,202605,电检/初始化,IBCU初始化不合格,60,电器
总装,202605,电检/刷写,ECU未刷写,40,电器
总装,202605,电检/以太网,以太网故障,37,电器
总装,202605,装配/未装,零部件未装,60,车辆工程
总装,202605,装配/扭矩,紧固扭矩不足,31,车辆工程
总装,202606,装配/徽标灯,前徽标灯间隙,95,车身外饰
总装,202606,装配/拉手,左前外开拉手间隙,53,车身外饰
总装,202606,装配/前保面差,前保险杠面差,55,车身外饰
总装,202606,装配/黑膜,整车黑膜错贴,73,车身内饰
总装,202606,装配/内饰异响,仪表台异响,58,车身内饰
总装,202606,装配/搭铁,中控箱搭铁无固定孔,133,电器
总装,202606,电检/清码,清码不合格,117,电器
总装,202606,电检/初始化,IBCU初始化不合格,65,电器
总装,202606,电检/车机,车机旋转不到位,49,电器
总装,202606,电检/安规,安规无法测试,43,电器
总装,202606,装配/未装,零部件未装,47,车辆工程
总装,202607,装配/间隙,前后保险杠间隙不均,283,车身外饰
总装,202607,装配/徽标灯,前徽标灯间隙,232,车身外饰
总装,202607,装配/拉手,左前外开拉手间隙,29,车身外饰
总装,202607,装配/前保面差,前保险杠面差,45,车身外饰
总装,202607,装配/黑膜,整车黑膜错贴,245,车身内饰
总装,202607,装配/内饰异响,仪表台异响,35,车身内饰
总装,202607,装配/搭铁,中控箱搭铁无固定孔,231,电器
总装,202607,装配/线束,线束干涉,100,电器
总装,202607,电检/清码,清码不合格,65,电器
总装,202607,电检/初始化,IBCU初始化不合格,56,电器
总装,202607,电检/车机,车机旋转不到位,27,电器
总装,202607,电检/以太网,以太网故障,32,电器
总装,202607,装配/未装,零部件未装,68,车辆工程
总装,202607,装配/扭矩,紧固扭矩不足,29,车辆工程
总装,202608,装配/徽标灯,前徽标灯间隙,387,车身外饰
总装,202608,装配/拉手,左前外开拉手间隙,79,车身外饰
总装,202608,装配/前保面差,前保险杠面差,56,车身外饰
总装,202608,装配/搭铁,中控箱搭铁无固定孔,536,电器
总装,202608,电检/清码,清码不合格,195,电器
总装,202608,电检/初始化,IBCU初始化不合格,201,电器
总装,202608,电检/车机,车机旋转不到位,52,电器
总装,202608,电检/以太网,以太网故障,64,电器
总装,202608,电检/安规,安规无法测试,67,电器
总装,202608,装配/未装,零部件未装,100,车辆工程
总装,202608,装配/扭矩,紧固扭矩不足,90,车辆工程
出厂,202605,底盘/制动,制动跑偏,57,底盘
出厂,202605,底盘/ABS,ABS报警,45,底盘
出厂,202605,电器/灯光,前大灯不亮,117,电器
出厂,202605,电器/传感器,雷达未标定,72,电器
出厂,202605,出厂/路试,路试异响,66,车辆工程
出厂,202605,外观/面差,整车面差,55,车身外饰
出厂,202605,涂装/色差,出厂发现色差,29,涂装
出厂,202606,底盘/制动,制动跑偏,49,底盘
出厂,202606,底盘/ABS,ABS报警,61,底盘
出厂,202606,底盘/异响,行驶系异响,85,底盘
出厂,202606,底盘/跑偏,车辆跑偏,32,底盘
出厂,202606,电器/传感器,雷达未标定,25,电器
出厂,202606,出厂/路试,路试异响,98,车辆工程
出厂,202606,外观/间隙,前保间隙,38,车身外饰
出厂,202607,底盘/制动,制动跑偏,34,底盘
出厂,202607,底盘/异响,行驶系异响,48,底盘
出厂,202607,电器/灯光,前大灯不亮,76,电器
出厂,202607,电器/传感器,雷达未标定,64,电器
出厂,202607,电器/电检,电检功能测试异常,78,电器
出厂,202607,出厂/路试,路试异响,81,车辆工程
出厂,202607,外观/面差,整车面差,61,车身外饰
出厂,202607,外观/间隙,前保间隙,23,车身外饰
出厂,202607,内饰/异响,内饰异响,33,车身内饰
出厂,202607,涂装/色差,出厂发现色差,56,涂装
出厂,202608,底盘/ABS,ABS报警,110,底盘
出厂,202608,电器/灯光,前大灯不亮,186,电器
出厂,202608,电器/电检,电检功能测试异常,169,电器
出厂,202608,外观/面差,整车面差,132,车身外饰
出厂,202608,外观/间隙,前保间隙,61,车身外饰
出厂,202608,涂装/色差,出厂发现色差,74,涂装
