工序,月份,样本量,C_流出问题数,一次通过数,FTR(%),C/1000,R/1000@0MIS,当班问题数,FTR目标(%),C/1000目标,R/1000@0MIS目标
冲压,202605,12289,91,12198,96.04,7.4,0.0,55,97.0,8.0,0.5
冲压,202606,12108,84,12024,97.57,6.94,0.0,55,97.0,8.0,0.5
冲压,202607,12107,99,12008,97.75,8.18,0.0,63,97.0,8.0,0.5
冲压,202608,11797,97,11700,97.22,8.22,0.0,56,97.0,8.0,0.5
出厂,202605,29355,797,28558,94.3,27.15,33.93,441,94.0,25.0,35.0
出厂,202606,28855,616,28239,93.84,21.35,38.71,388,94.0,25.0,35.0
出厂,202607,29101,880,28221,93.73,30.24,40.96,554,94.0,25.0,35.0
出厂,202608,30061,1110,28951,92.85,36.92,38.72,732,94.0,25.0,35.0
总装,202605,30429,1182,29247,91.5,38.84,22.25,733,91.0,40.0,22.0
总装,202606,29456,1285,28171,91.03,43.62,20.84,788,91.0,40.0,22.0
总装,202607,30294,2334,27960,86.2,77.04,23.01,1477,91.0,40.0,22.0
总装,202608,29488,2912,26576,85.27,98.75,19.97,1827,91.0,40.0,22.0
涂装,202605,8645,240,8405,92.34,27.76,0.0,157,92.5,30.0,0.5
涂装,202606,8575,345,8230,93.01,40.23,0.0,211,92.5,30.0,0.5
涂装,202607,8496,267,8229,92.08,31.43,0.0,166,92.5,30.0,0.5
涂装,202608,8624,301,8323,92.65,34.9,0.0,186,92.5,30.0,0.5
焊接,202605,11612,187,11425,95.67,16.1,25.4,115,96.0,20.0,20.0
焊接,202606,11917,251,11666,95.27,21.06,0.0,148,96.0,20.0,20.0
焊接,202607,12410,365,12045,91.8,29.41,23.45,225,96.0,20.0,20.0
焊接,202608,11958,260,11698,96.12,21.74,0.0,165,96.0,20.0,20.0
