工序,月份,ICC,描述,C_count,VRT
冲压,202605,钣金/开裂,侧围外板开裂,43,车身外饰
冲压,202605,钣金/毛刺,行李箱盖毛刺,18,车身外饰
冲压,202605,钣金/凹陷,顶盖凹陷,15,车身外饰
冲压,202606,钣金/开裂,侧围外板开裂,25,车身外饰
冲压,202606,钣金/起皱,翼子板起皱,18,车身外饰
冲压,202606,钣金/划痕,门内板划痕,15,车身外饰
冲压,202607,钣金/开裂,侧围外板开裂,39,车身外饰
冲压,202607,钣金/起皱,翼子板起皱,36,车身外饰
冲压,202607,钣金/毛刺,行李箱盖毛刺,15,车身外饰
冲压,202608,钣金/开裂,侧围外板开裂,43,车身外饰
冲压,202608,钣金/起皱,翼子板起皱,24,车身外饰
冲压,202608,钣金/划痕,门内板划痕,20,车身外饰
焊接,202605,焊接/焊偏,前盖焊偏,49,车身外饰
焊接,202605,焊接/电池托盘,电池托盘焊缝异常,48,电器
焊接,202605,焊接/烧穿,后盖烧穿,30,车身外饰
焊接,202606,焊接/虚焊,A柱焊缝虚焊,73,车身外饰
焊接,202606,焊接/漏焊,侧围漏焊点,61,车身外饰
焊接,202606,焊接/焊缝间隙,门盖焊缝间隙,45,车身外饰
焊接,202607,焊接/焊偏,前盖焊偏,129,车身外饰
焊接,202607,焊接/虚焊,A柱焊缝虚焊,78,车身外饰
焊接,202607,焊接/焊缝间隙,门盖焊缝间隙,75,车身外饰
焊接,202608,焊接/虚焊,A柱焊缝虚焊,134,车身外饰
焊接,202608,焊接/烧穿,后盖烧穿,73,车身外饰
焊接,202608,焊接/车身变形,车身总成变形,53,车身外饰
涂装,202605,涂装/色差,前后门色差,84,涂装
涂装,202605,涂装/划伤,整车划伤,62,涂装
涂装,202605,涂装/针孔,侧围针孔,43,涂装
涂装,202606,涂装/划伤,整车划伤,148,涂装
涂装,202606,涂装/针孔,侧围针孔,108,涂装
涂装,202606,涂装/缩孔,顶盖缩孔,89,涂装
涂装,202607,涂装/颗粒,前保险杠颗粒,157,涂装
涂装,202607,涂装/流挂,前盖流挂,70,涂装
涂装,202607,涂装/缩孔,顶盖缩孔,40,涂装
涂装,202608,涂装/色差,前后门色差,133,涂装
涂装,202608,涂装/颗粒,前保险杠颗粒,75,涂装
涂装,202608,涂装/流挂,前盖流挂,39,涂装
总装,202605,装配/搭铁,中控箱搭铁无固定孔,207,电器
总装,202605,装配/徽标灯,前徽标灯间隙,136,车身外饰
总装,202605,装配/折痕,后顶棚折痕,134,车身内饰
总装,202606,装配/搭铁,中控箱搭铁无固定孔,207,电器
总装,202606,电检/清码,清码不合格,201,电器
总装,202606,装配/徽标灯,前徽标灯间隙,144,车身外饰
总装,202607,装配/间隙,前后保险杠间隙不均,437,车身外饰
总装,202607,装配/徽标灯,前徽标灯间隙,388,车身外饰
总装,202607,装配/搭铁,中控箱搭铁无固定孔,382,电器
总装,202608,装配/搭铁,中控箱搭铁无固定孔,762,电器
总装,202608,装配/徽标灯,前徽标灯间隙,637,车身外饰
总装,202608,电检/清码,清码不合格,349,电器
出厂,202605,电器/灯光,前大灯不亮,211,电器
出厂,202605,电器/传感器,雷达未标定,138,电器
出厂,202605,出厂/路试,路试异响,116,车辆工程
出厂,202606,底盘/异响,行驶系异响,160,底盘
出厂,202606,出厂/路试,路试异响,145,车辆工程
出厂,202606,底盘/ABS,ABS报警,86,底盘
出厂,202607,电器/灯光,前大灯不亮,130,电器
出厂,202607,电器/电检,电检功能测试异常,128,电器
出厂,202607,出厂/路试,路试异响,118,车辆工程
出厂,202608,电器/灯光,前大灯不亮,265,电器
出厂,202608,电器/电检,电检功能测试异常,249,电器
出厂,202608,外观/面差,整车面差,188,车身外饰
